raw_ticker	canonical_ticker	datetime_utc	difference_kind
AAPL	AAPL	2026-06-23T13:30:00+0000	volume_only
AAPL	AAPL	2026-06-23T15:45:00+0000	volume_only
ADBE	ADBE	2026-06-23T13:30:00+0000	volume_only
ADBE	ADBE	2026-06-23T14:30:00+0000	volume_only
AMD	AMD	2026-06-23T13:45:00+0000	volume_only
AMD	AMD	2026-06-23T14:15:00+0000	volume_only
AMZN	AMZN	2026-06-23T13:30:00+0000	volume_only
AMZN	AMZN	2026-06-23T14:00:00+0000	volume_only
AMZN	AMZN	2026-06-23T15:45:00+0000	ohlc
ANET	ANET	2024-07-01T15:45:00+0000	ohlc
ANET	ANET	2025-07-02T15:45:00+0000	ohlc
APP	APP	2026-06-23T15:45:00+0000	volume_only
ARM	ARM	2026-06-23T15:45:00+0000	ohlc
ASML	ASML	2026-06-23T14:45:00+0000	volume_only
ASML	ASML	2026-06-23T15:45:00+0000	volume_only
AVGO	AVGO	2026-06-23T14:15:00+0000	volume_only
AVGO	AVGO	2026-06-23T14:45:00+0000	volume_only
AVGO	AVGO	2026-06-23T15:00:00+0000	volume_only
AVGO	AVGO	2026-06-23T15:15:00+0000	volume_only
B	B	2024-03-01T15:45:00+0000	ohlc
B	B	2024-05-01T15:45:00+0000	ohlc
B	B	2024-10-31T15:45:00+0000	volume_only
B	B	2026-03-03T15:45:00+0000	ohlc
B	B	2026-06-23T15:45:00+0000	volume_only
BRK B	BRK B	2026-06-23T15:45:00+0000	ohlc
CSTM	CSTM	2024-03-01T15:45:00+0000	ohlc
DELL	DELL	2024-03-01T15:45:00+0000	ohlc
DELL	DELL	2024-07-01T15:45:00+0000	ohlc
GM	GM	2026-03-03T15:45:00+0000	ohlc
IONQ	IONQ	2024-03-01T15:45:00+0000	volume_only
IONQ	IONQ	2024-10-31T15:45:00+0000	ohlc
IONQ	IONQ	2024-12-31T15:45:00+0000	volume_only
IONQ	IONQ	2025-05-02T15:45:00+0000	ohlc
IONQ	IONQ	2025-07-02T15:45:00+0000	volume_only
LC	HAPN	2026-01-26T14:30:00+0000	ohlc
LC	HAPN	2026-01-26T15:45:00+0000	ohlc
LC	HAPN	2026-01-30T15:15:00+0000	ohlc
LC	HAPN	2026-02-02T14:30:00+0000	ohlc
LC	HAPN	2026-02-04T14:30:00+0000	ohlc
